model,Accuracy (%),Macro Precision (%),Macro Recall (%),Macro F1 (%),Parameters,Training Time (s)
video_cnn_lstm,100.0,100.0,100.0,100.0,168229,8.28367829322815
video_cnn_gru,87.5,93.33333333333333,90.0,89.33333333333333,126309,8.29357647895813
