model,Accuracy (%),Macro Precision (%),Macro Recall (%),Macro F1 (%),Parameters,Training Time (s)
har_rnn,69.29080420766881,68.98743105442152,68.49020721930636,68.02470030304032,1974,46.13762140274048
har_lstm,89.10756701730574,89.10809349422448,89.30245600277077,89.16317038546731,6006,95.89965343475342
har_gru,89.54869358669833,89.54736342408837,89.69937473443315,89.4970812623853,4758,121.60231137275696
